TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
2898654,Pokemon,Neo Genesis,Togetic,,016/111,Holo Rare,Moderately Played,17.21,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89939_in_400x400.jpg
1202367,Pokemon,FireRed & LeafGreen,Seel,,78/112,Common,Lightly Played,0.26,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89052_in_400x400.jpg
1201123,Pokemon,EX Trainer Kit 1: Latias & Latios,Numel,,5/10,Common,Lightly Played,0.41,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87808_in_400x400.jpg
1201212,Pokemon,Diamond and Pearl,Pachirisu,,35/130,Rare,Lightly Played,0.79,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87897_in_400x400.jpg
1203651,Pokemon,Power Keepers,Vibrava,,40/108,Uncommon,Lightly Played,0.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/90336_in_400x400.jpg
1199289,Pokemon,Hidden Legends,Gulpin,,62/101,Common,Lightly Played,1,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/85974_in_400x400.jpg
1197592,Pokemon,Unseen Forces,Chikorita,,51/115,Common,Lightly Played,0.35,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/84277_in_400x400.jpg
449090,Pokemon,Base Set 2,Charmeleon,,035/130,Uncommon,Lightly Played,0.85,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42474_in_400x400.jpg
449916,Pokemon,Base Set,Charmander,,046/102,Common,Lightly Played,0.69,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42389_in_400x400.jpg
1200219,Pokemon,Neo Revelation,Lugia,,20/64,Rare,Lightly Played,19.93,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/86904_in_400x400.jpg
1199280,Pokemon,Deoxys,Grumpig,,32/107,Uncommon,Lightly Played,0.37,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/85965_in_400x400.jpg
1200316,Pokemon,Neo Genesis,Magby,,023/111,Rare,Lightly Played,1.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87001_in_400x400.jpg
1202914,Pokemon,Neo Revelation,Suicune (27),,27/64,Rare,Lightly Played,13.9,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89599_in_400x400.jpg
1196760,Pokemon,Team Rocket,Abra,,49/82,Common,Lightly Played,0.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83445_in_400x400.jpg
1199434,Pokemon,Neo Revelation,Ho-oh (18),,18/64,Rare,Lightly Played,12.74,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/86119_in_400x400.jpg
2829713,Pokemon,Holon Phantoms,Psychic Energy,,109/110,Holo Rare,Damaged,3.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88421_in_400x400.jpg
