"App","Platforms","Accuracy","Scan Speed","Bulk Photo Import","Photo Export","Pricing Sources","Monthly Price","Unlimited Scans? (Paid)","Free Tier Limits","Key Negatives"
"TCGplayer","iOS/Android/Web","82-94%","2-3s","No","No","TCGPlayer market/sold","Free / $4.99 Pro","Yes (Pro)","Full scanning","Unreliable (looping), wrong sets, slow"
"TCG Radar","iOS/Android","96-99%","<2s","Yes","Limited","Multiple markets","Free / $6.99","Yes","Unlimited","Lighting sensitive, rare variant errors"
"CollX","iOS/Android","91%","3-4s","No","Social share","Marketplace + eBay sold","Free / $9.99 (5% fee)","Yes","Basic scan","Slower speed, social focus"
"Shiny","Android","High","Fast","Partial","No","Pokémon + multi-TCG","Free","Yes (free)","Full","Android only, less Pokémon-specific"
"Oakly","Android","90%","2-3s","Yes (30 max)","No","Market averages","Free / $4.99","Yes","30 imports","30-photo limit, slower variants"
"Dragon Shield","iOS/Android","88%","3s","No","No","Prices + deck tools","Free","Yes (free)","Full","Single photo only, deck-focused"
"Pokellector","iOS/Android","78%","2.8s","No","Limited","Limited pricing","Free","Yes (free)","Unlimited","Low accuracy, basic pricing"
"Pokémon TCG Card Dex","iOS/Android","89%","4-5s","No","No","Official Nintendo","Free","Yes (free)","Full","Slowest, no market prices"
"DittoDex","Android","92%","2s","Partial","CSV","Real-time AI values","Free","Yes (free)","Full","Android only, partial bulk"
"Ludex","iOS/Android","89%","3s","Limited","No","Sports/TCG prices","Free / $9.99","Yes","Basic","Multi-TCG dilution, limited bulk"
